左龟,左技能idx,左技能,右龟,右技能idx,右技能,胜方,帧数,左释放,右释放
basic,1,打击,basic,2,龟派气波,R,2746,4,6
angel,1,祝福,basic,1,打击,R,3400,6,8
basic,1,打击,ninja,3,背刺,R,2646,4,5
diamond,2,钻石滚球,basic,1,打击,R,3364,5,6
basic,1,打击,rainbow,1,棱镜护盾,L,3829,7,6
hunter,3,狩猎弹幕,basic,1,打击,R,2709,4,6
basic,1,打击,bubble,2,泡泡束缚,L,3532,5,7
phoenix,1,熔岩盾,basic,1,打击,R,3144,5,7
basic,1,打击,cyber,3,智能AI,R,4647,4,5
space,2,星波,basic,1,打击,R,2924,4,6
basic,1,打击,shell,1,复制,R,3056,5,3
bamboo,2,竹击,basic,2,龟派气波,R,2769,2,6
basic,2,龟派气波,ninja,1,手里剑,R,3141,4,6
ghost,3,虚化,basic,2,龟派气波,R,3300,4,7
basic,2,龟派气波,dice,2,命运骰子,L,2763,6,4
hunter,1,精准射击,basic,2,龟派气波,R,2686,4,6
basic,2,龟派气波,candy,3,糖果炸弹,R,3004,4,5
lightning,2,雷暴,basic,2,龟派气波,R,2811,3,6
basic,2,龟派气波,cyber,1,能量大炮,L,4048,8,4
chest,3,财宝炮击,basic,2,龟派气波,R,2488,2,5
basic,2,龟派气波,headless,2,万千触须,L,3332,6,3
bamboo,1,自然恢复,basic,3,过肩摔,R,2489,2,5
basic,3,过肩摔,ice,3,团队护盾,L,3103,5,3
ghost,2,灵魂风暴,basic,3,过肩摔,R,3014,4,6
basic,3,过肩摔,dice,1,孤注一掷,L,2628,4,3
gambler,3,命运之轮,basic,3,过肩摔,R,2490,3,4
basic,3,过肩摔,candy,2,糖衣炮弹,L,3497,4,3
lightning,1,涌动,basic,3,过肩摔,R,2574,3,5
basic,3,过肩摔,lava,3,熔岩爆发,L,2761,5,4
chest,2,财宝风暴,basic,3,过肩摔,R,2377,2,5
basic,3,过肩摔,headless,1,恐吓,R,3302,3,5
bamboo,1,自然恢复,stone,1,岩石护盾,R,3331,3,6
stone,1,岩石护盾,ice,3,团队护盾,R,3500,4,6
ghost,2,灵魂风暴,stone,1,岩石护盾,L,2535,6,3
stone,1,岩石护盾,dice,1,孤注一掷,L,3028,5,4
gambler,3,命运之轮,stone,1,岩石护盾,R,3083,4,5
stone,1,岩石护盾,candy,2,糖衣炮弹,R,3185,5,5
lightning,1,涌动,stone,1,岩石护盾,R,3129,4,5
stone,1,岩石护盾,lava,3,熔岩爆发,R,2745,4,5
chest,2,财宝风暴,stone,1,岩石护盾,R,3126,3,5
stone,1,岩石护盾,headless,1,恐吓,R,3763,4,5
bamboo,2,竹击,stone,2,磐石之躯,R,3250,2,7
stone,2,磐石之躯,ninja,1,手里剑,R,3148,5,6
ghost,3,虚化,stone,2,磐石之躯,L,3427,5,5
stone,2,磐石之躯,dice,2,命运骰子,L,3011,7,4
hunter,1,精准射击,stone,2,磐石之躯,L,3729,6,6
stone,2,磐石之躯,candy,3,糖果炸弹,R,3301,7,5
lightning,2,雷暴,stone,2,磐石之躯,L,2735,5,5
stone,2,磐石之躯,cyber,1,能量大炮,R,4611,6,6
chest,3,财宝炮击,stone,2,磐石之躯,R,3359,3,8
stone,2,磐石之躯,headless,2,万千触须,L,3212,6,2
angel,1,祝福,stone,3,嘲讽,R,3369,6,5
stone,3,嘲讽,ninja,3,背刺,L,3252,5,4
diamond,2,钻石滚球,stone,3,嘲讽,R,3369,3,5
stone,3,嘲讽,rainbow,1,棱镜护盾,L,3836,5,9
hunter,3,狩猎弹幕,stone,3,嘲讽,L,3186,5,4
stone,3,嘲讽,bubble,2,泡泡束缚,L,4225,5,9
phoenix,1,熔岩盾,stone,3,嘲讽,L,2988,6,4
stone,3,嘲讽,cyber,3,智能AI,R,4631,6,4
space,2,星波,stone,3,嘲讽,R,3358,4,4
stone,3,嘲讽,shell,1,复制,L,3084,4,3
ice,1,冰霜,bamboo,1,自然恢复,R,3289,5,6
bamboo,1,自然恢复,two_head,3,融合,L,3658,5,5
fortune,2,梭哈,bamboo,1,自然恢复,R,3667,2,3
bamboo,1,自然恢复,gambler,1,万能牌,R,3937,3,8
pirate,3,海盗船,bamboo,1,自然恢复,R,4039,5,7
bamboo,1,自然恢复,line,2,画龙点睛,L,3740,3,5
lava,1,地裂,bamboo,1,自然恢复,L,3456,5,4
bamboo,1,自然恢复,crystal,3,水晶球,R,4051,5,5
hiding,2,防御,bamboo,1,自然恢复,R,3631,4,6
bamboo,2,竹击,bamboo,3,竹刺阵,R,2499,2,4
ninja,2,炸弹,bamboo,2,竹击,L,3251,5,4
bamboo,2,竹击,diamond,1,坚不可摧,L,3645,5,5
dice,3,稳定骰子,bamboo,2,竹击,R,2900,2,5
bamboo,2,竹击,hunter,2,隐蔽,R,4084,4,10
bubble,1,泡泡盾,bamboo,2,竹击,R,3401,5,6
bamboo,2,竹击,lightning,3,雷盾,R,3469,4,7
cyber,2,侵入,bamboo,2,竹击,L,4448,3,6
bamboo,2,竹击,space,1,虫洞,R,3700,4,7
headless,3,灵魂打击,bamboo,2,竹击,L,2874,4,2
bamboo,3,竹刺阵,ice,2,冰封,L,3188,4,6
ghost,1,幽冥突袭,bamboo,3,竹刺阵,R,3244,4,4
bamboo,3,竹刺阵,fortune,3,招财进宝,L,3007,3,2
gambler,2,赌注,bamboo,3,竹刺阵,L,2566,5,2
bamboo,3,竹刺阵,candy,1,糖果锤,R,2659,2,4
line,3,墨水炸弹,bamboo,3,竹刺阵,R,2695,3,4
bamboo,3,竹刺阵,lava,2,岩浆涌动,R,3135,3,4
chest,1,清点财宝,bamboo,3,竹刺阵,R,2503,3,4
bamboo,3,竹刺阵,hiding,3,强化随从,R,2911,3,7
angel,3,飞升,angel,1,祝福,R,3470,6,9
angel,1,祝福,two_head,2,精神干扰/吸收,R,3724,5,7
fortune,1,骰子,angel,1,祝福,R,3798,7,9
angel,1,祝福,rainbow,3,反射,R,3227,5,4
pirate,2,朗姆酒,angel,1,祝福,L,4204,6,8
angel,1,祝福,line,1,连笔,R,3831,8,8
phoenix,3,强化涅槃,angel,1,祝福,L,4073,6,8
angel,1,祝福,crystal,2,碎晶爆破,R,3638,6,4
hiding,1,缩头,angel,1,祝福,L,3796,6,7
angel,1,祝福,shell,3,暗影,R,4116,5,6
two_head,1,灵能冲击/锤击,angel,2,平等,R,2856,3,7
angel,2,平等,diamond,3,钻石冲撞,R,3476,8,5
rainbow,2,全色风暴,angel,2,平等,R,2896,2,8
angel,2,平等,pirate,1,火炮齐射,R,2952,7,3
bubble,3,泡泡爆破,angel,2,平等,R,2787,4,8
angel,2,平等,phoenix,2,烫伤,R,2957,7,6
crystal,1,水晶壁垒,angel,2,平等,R,2852,2,7
