左龟,左技能idx,左技能,右龟,右技能idx,右技能,胜方,帧数,左释放,右释放
basic,1,打击,bamboo,3,竹刺阵,R,2749,4,4
ninja,2,炸弹,basic,1,打击,L,2593,4,4
basic,1,打击,diamond,1,坚不可摧,R,4146,6,8
dice,3,稳定骰子,basic,1,打击,R,3067,3,6
basic,1,打击,hunter,2,隐蔽,L,3554,6,6
bubble,1,泡泡盾,basic,1,打击,R,3022,5,6
basic,1,打击,lightning,3,雷盾,L,3229,7,5
cyber,2,侵入,basic,1,打击,L,4552,3,7
basic,1,打击,space,1,虫洞,R,2985,4,6
headless,3,灵魂打击,basic,1,打击,L,3027,4,4
basic,2,龟派气波,bamboo,1,自然恢复,L,3281,6,3
ice,3,团队护盾,basic,2,龟派气波,R,3248,4,6
basic,2,龟派气波,ghost,2,灵魂风暴,L,2801,6,4
dice,1,孤注一掷,basic,2,龟派气波,R,2523,3,5
basic,2,龟派气波,gambler,3,命运之轮,L,2757,6,3
candy,2,糖衣炮弹,basic,2,龟派气波,L,3500,3,6
basic,2,龟派气波,lightning,1,涌动,L,2759,6,3
lava,3,熔岩爆发,basic,2,龟派气波,R,3016,4,6
basic,2,龟派气波,chest,2,财宝风暴,L,3274,6,4
headless,1,恐吓,basic,2,龟派气波,R,2937,3,6
basic,3,过肩摔,stone,3,嘲讽,L,2663,5,3
ice,2,冰封,basic,3,过肩摔,R,3103,5,4
basic,3,过肩摔,ghost,1,幽冥突袭,L,2832,4,4
fortune,3,招财进宝,basic,3,过肩摔,R,2417,2,5
basic,3,过肩摔,gambler,2,赌注,L,3025,3,4
candy,1,糖果锤,basic,3,过肩摔,R,2758,3,5
basic,3,过肩摔,line,3,墨水炸弹,L,2986,5,3
lava,2,岩浆涌动,basic,3,过肩摔,R,2855,3,5
basic,3,过肩摔,chest,1,清点财宝,L,2738,4,3
hiding,3,强化随从,basic,3,过肩摔,R,2978,3,5
stone,1,岩石护盾,stone,3,嘲讽,L,3377,5,3
ice,2,冰封,stone,1,岩石护盾,R,3452,6,6
stone,1,岩石护盾,ghost,1,幽冥突袭,R,3333,3,7
fortune,3,招财进宝,stone,1,岩石护盾,R,3031,5,5
stone,1,岩石护盾,gambler,2,赌注,L,2943,5,3
candy,1,糖果锤,stone,1,岩石护盾,R,3207,4,6
stone,1,岩石护盾,line,3,墨水炸弹,L,3448,5,3
lava,2,岩浆涌动,stone,1,岩石护盾,R,3119,3,5
stone,1,岩石护盾,chest,1,清点财宝,R,3487,5,7
hiding,3,强化随从,stone,1,岩石护盾,R,3327,7,6
stone,2,磐石之躯,bamboo,1,自然恢复,L,3886,8,3
ice,3,团队护盾,stone,2,磐石之躯,R,3183,4,7
stone,2,磐石之躯,ghost,2,灵魂风暴,R,2390,3,5
dice,1,孤注一掷,stone,2,磐石之躯,R,3155,3,8
stone,2,磐石之躯,gambler,3,命运之轮,L,2937,6,3
candy,2,糖衣炮弹,stone,2,磐石之躯,R,3603,2,9
stone,2,磐石之躯,lightning,1,涌动,R,3192,4,6
lava,3,熔岩爆发,stone,2,磐石之躯,R,3487,4,5
stone,2,磐石之躯,chest,2,财宝风暴,R,3752,8,6
headless,1,恐吓,stone,2,磐石之躯,R,3558,4,7
stone,3,嘲讽,bamboo,3,竹刺阵,R,3066,3,5
ninja,2,炸弹,stone,3,嘲讽,L,3028,5,3
stone,3,嘲讽,diamond,1,坚不可摧,L,3933,6,6
dice,3,稳定骰子,stone,3,嘲讽,R,2655,3,4
stone,3,嘲讽,hunter,2,隐蔽,L,3440,5,6
bubble,1,泡泡盾,stone,3,嘲讽,R,3636,5,6
stone,3,嘲讽,lightning,3,雷盾,L,3182,4,5
cyber,2,侵入,stone,3,嘲讽,L,3738,3,5
stone,3,嘲讽,space,1,虫洞,R,3915,4,6
headless,3,灵魂打击,stone,3,嘲讽,L,2935,4,3
bamboo,1,自然恢复,angel,3,飞升,L,3453,3,8
two_head,2,精神干扰/吸收,bamboo,1,自然恢复,R,3544,5,6
bamboo,1,自然恢复,fortune,1,骰子,R,3536,3,9
rainbow,3,反射,bamboo,1,自然恢复,R,3557,3,6
bamboo,1,自然恢复,pirate,2,朗姆酒,L,3984,7,6
line,1,连笔,bamboo,1,自然恢复,R,3368,5,3
bamboo,1,自然恢复,phoenix,3,强化涅槃,L,3636,4,5
crystal,2,碎晶爆破,bamboo,1,自然恢复,R,3556,3,6
bamboo,1,自然恢复,hiding,1,缩头,R,3419,4,5
shell,3,暗影,bamboo,1,自然恢复,R,3584,4,6
bamboo,2,竹击,ninja,1,手里剑,R,2914,3,6
ghost,3,虚化,bamboo,2,竹击,R,3035,4,5
bamboo,2,竹击,dice,2,命运骰子,L,3154,4,4
hunter,1,精准射击,bamboo,2,竹击,R,2900,5,5
bamboo,2,竹击,candy,3,糖果炸弹,R,2843,3,5
lightning,2,雷暴,bamboo,2,竹击,R,3264,5,5
bamboo,2,竹击,cyber,1,能量大炮,R,4285,5,4
chest,3,财宝炮击,bamboo,2,竹击,R,3032,3,5
bamboo,2,竹击,headless,2,万千触须,R,4067,4,4
ice,1,冰霜,bamboo,3,竹刺阵,R,3028,4,4
bamboo,3,竹刺阵,two_head,3,融合,L,3242,5,4
fortune,2,梭哈,bamboo,3,竹刺阵,R,2515,2,4
bamboo,3,竹刺阵,gambler,1,万能牌,L,3611,3,7
pirate,3,海盗船,bamboo,3,竹刺阵,R,3167,3,4
bamboo,3,竹刺阵,line,2,画龙点睛,L,3689,2,5
lava,1,地裂,bamboo,3,竹刺阵,R,3047,4,5
bamboo,3,竹刺阵,crystal,3,水晶球,L,2951,4,4
hiding,2,防御,bamboo,3,竹刺阵,L,3469,3,4
angel,1,祝福,angel,2,平等,R,3301,6,8
two_head,1,灵能冲击/锤击,angel,1,祝福,R,3751,4,9
angel,1,祝福,diamond,3,钻石冲撞,R,3510,6,6
rainbow,2,全色风暴,angel,1,祝福,L,4064,6,8
angel,1,祝福,pirate,1,火炮齐射,R,2947,5,4
bubble,3,泡泡爆破,angel,1,祝福,R,3732,6,9
angel,1,祝福,phoenix,2,烫伤,R,3372,6,7
crystal,1,水晶壁垒,angel,1,祝福,R,4034,5,10
angel,1,祝福,space,3,扭曲空间,L,4224,10,5
shell,2,吸收,angel,1,祝福,L,3976,7,8
angel,2,平等,ninja,3,背刺,L,2623,6,2
diamond,2,钻石滚球,angel,2,平等,L,3274,3,7
angel,2,平等,rainbow,1,棱镜护盾,L,2976,8,6
hunter,3,狩猎弹幕,angel,2,平等,R,2503,3,6
angel,2,平等,bubble,2,泡泡束缚,R,3836,8,9
phoenix,1,熔岩盾,angel,2,平等,R,3348,6,9
angel,2,平等,cyber,3,智能AI,R,4537,10,4
space,2,星波,angel,2,平等,R,2547,3,7
angel,2,平等,shell,1,复制,L,3080,8,4
ninja,3,背刺,angel,3,飞升,L,3147,5,7
angel,3,飞升,diamond,2,钻石滚球,R,3032,6,5
rainbow,1,棱镜护盾,angel,3,飞升,L,4091,8,10
angel,3,飞升,hunter,3,狩猎弹幕,R,2768,6,4
bubble,2,泡泡束缚,angel,3,飞升,L,3689,10,8
angel,3,飞升,phoenix,1,熔岩盾,R,2961,7,7
cyber,3,智能AI,angel,3,飞升,L,4712,5,11
angel,3,飞升,space,2,星波,R,2848,6,5
shell,1,复制,angel,3,飞升,L,3601,3,9
ice,1,冰霜,two_head,1,灵能冲击/锤击,R,3783,6,6
diamond,3,钻石冲撞,ice,1,冰霜,L,3121,6,5
ice,1,冰霜,rainbow,2,全色风暴,R,3475,5,6
pirate,1,火炮齐射,ice,1,冰霜,L,3122,5,5
ice,1,冰霜,bubble,3,泡泡爆破,R,3466,5,5
phoenix,2,烫伤,ice,1,冰霜,L,3895,6,7
ice,1,冰霜,crystal,1,水晶壁垒,R,3692,6,6
space,3,扭曲空间,ice,1,冰霜,R,3781,4,6
ice,1,冰霜,shell,2,吸收,R,3571,5,7
two_head,3,融合,ice,2,冰封,R,4395,5,9
ice,2,冰封,fortune,2,梭哈,R,3556,6,2
gambler,1,万能牌,ice,2,冰封,R,4096,7,9
ice,2,冰封,pirate,3,海盗船,R,3487,7,5
line,2,画龙点睛,ice,2,冰封,L,3414,5,6
ice,2,冰封,lava,1,地裂,R,3638,6,5
crystal,3,水晶球,ice,2,冰封,L,3496,6,7
ice,2,冰封,hiding,2,防御,R,3491,6,5
ninja,1,手里剑,ice,3,团队护盾,L,3341,6,4
ice,3,团队护盾,ghost,3,虚化,R,3107,4,5
dice,2,命运骰子,ice,3,团队护盾,L,3522,7,5
ice,3,团队护盾,hunter,1,精准射击,R,3108,4,6
candy,3,糖果炸弹,ice,3,团队护盾,R,3204,4,5
ice,3,团队护盾,lightning,2,雷暴,R,3197,4,5
cyber,1,能量大炮,ice,3,团队护盾,L,4599,4,6
ice,3,团队护盾,chest,3,财宝炮击,R,3632,5,5
headless,2,万千触须,ice,3,团队护盾,R,3787,3,6
ninja,1,手里剑,two_head,2,精神干扰/吸收,L,2619,5,3
fortune,1,骰子,ninja,1,手里剑,R,2808,5,6
ninja,1,手里剑,rainbow,3,反射,L,2918,5,3
pirate,2,朗姆酒,ninja,1,手里剑,R,2543,2,5
ninja,1,手里剑,line,1,连笔,L,2869,5,3
phoenix,3,强化涅槃,ninja,1,手里剑,L,2964,5,4
ninja,1,手里剑,crystal,2,碎晶爆破,L,2888,5,3
hiding,1,缩头,ninja,1,手里剑,R,3558,4,7
ninja,1,手里剑,shell,3,暗影,R,3154,5,4
diamond,1,坚不可摧,ninja,2,炸弹,R,3165,4,6
ninja,2,炸弹,dice,3,稳定骰子,L,2361,4,2
hunter,2,隐蔽,ninja,2,炸弹,R,2669,4,5
ninja,2,炸弹,bubble,1,泡泡盾,L,2496,5,3
lightning,3,雷盾,ninja,2,炸弹,R,2620,4,5
ninja,2,炸弹,cyber,2,侵入,L,4015,7,2
space,1,虫洞,ninja,2,炸弹,L,2954,4,4
ninja,2,炸弹,headless,3,灵魂打击,R,3253,3,4
ghost,2,灵魂风暴,ninja,3,背刺,L,2688,5,3
ninja,3,背刺,dice,1,孤注一掷,L,2865,3,4
gambler,3,命运之轮,ninja,3,背刺,R,2359,3,4
ninja,3,背刺,candy,2,糖衣炮弹,L,3061,3,3
lightning,1,涌动,ninja,3,背刺,R,2620,3,5
ninja,3,背刺,lava,3,熔岩爆发,R,3052,3,6
chest,2,财宝风暴,ninja,3,背刺,R,2573,3,5
