左龟,左技能idx,左技能,右龟,右技能idx,右技能,胜方,帧数,左释放,右释放
basic,1,打击,bamboo,2,竹击,L,3539,6,3
ninja,1,手里剑,basic,1,打击,L,2952,5,4
basic,1,打击,ghost,3,虚化,R,3164,4,4
dice,2,命运骰子,basic,1,打击,R,2724,3,6
basic,1,打击,hunter,1,精准射击,L,2877,6,5
candy,3,糖果炸弹,basic,1,打击,R,3234,3,7
basic,1,打击,lightning,2,雷暴,L,2744,5,4
cyber,1,能量大炮,basic,1,打击,R,4105,4,8
basic,1,打击,chest,3,财宝炮击,R,3029,4,5
headless,2,万千触须,basic,1,打击,L,3611,2,5
basic,2,龟派气波,stone,3,嘲讽,L,3277,6,3
ice,2,冰封,basic,2,龟派气波,R,2936,4,6
basic,2,龟派气波,ghost,1,幽冥突袭,L,3809,6,6
fortune,3,招财进宝,basic,2,龟派气波,R,2853,2,6
basic,2,龟派气波,gambler,2,赌注,L,3397,7,5
candy,1,糖果锤,basic,2,龟派气波,R,2934,3,6
basic,2,龟派气波,line,3,墨水炸弹,L,2685,6,3
lava,2,岩浆涌动,basic,2,龟派气波,R,3019,3,6
basic,2,龟派气波,chest,1,清点财宝,L,3723,6,4
hiding,3,强化随从,basic,2,龟派气波,R,3204,4,5
basic,3,过肩摔,stone,2,磐石之躯,R,2933,3,5
ice,1,冰霜,basic,3,过肩摔,R,3250,5,5
basic,3,过肩摔,two_head,3,融合,L,3075,5,3
fortune,2,梭哈,basic,3,过肩摔,R,2476,2,5
basic,3,过肩摔,gambler,1,万能牌,L,3040,5,5
pirate,3,海盗船,basic,3,过肩摔,R,2919,3,5
basic,3,过肩摔,line,2,画龙点睛,L,2685,4,3
lava,1,地裂,basic,3,过肩摔,R,2632,3,5
basic,3,过肩摔,crystal,3,水晶球,L,2419,4,3
hiding,2,防御,basic,3,过肩摔,R,2943,3,5
stone,1,岩石护盾,stone,2,磐石之躯,R,3524,4,8
ice,1,冰霜,stone,1,岩石护盾,R,3189,5,5
stone,1,岩石护盾,two_head,3,融合,L,3358,5,4
fortune,2,梭哈,stone,1,岩石护盾,R,3020,2,5
