左龟,左技能idx,左技能,右龟,右技能idx,右技能,胜方,帧数,左释放,右释放
basic,1,打击,stone,1,岩石护盾,R,3061,4,5
angel,3,飞升,basic,1,打击,R,2902,5,6
basic,1,打击,two_head,2,精神干扰/吸收,L,3975,4,6
fortune,1,骰子,basic,1,打击,R,3035,6,7
basic,1,打击,rainbow,3,反射,L,3248,6,3
pirate,2,朗姆酒,basic,1,打击,R,3336,4,7
basic,1,打击,line,1,连笔,R,2896,3,6
phoenix,3,强化涅槃,basic,1,打击,L,2491,4,4
basic,1,打击,crystal,2,碎晶爆破,L,3458,6,3
hiding,1,缩头,basic,1,打击,R,3541,4,6
basic,1,打击,shell,3,暗影,R,2776,4,4
angel,1,祝福,basic,2,龟派气波,R,3166,6,6
basic,2,龟派气波,ninja,3,背刺,R,2842,5,5
diamond,2,钻石滚球,basic,2,龟派气波,R,3333,3,5
basic,2,龟派气波,rainbow,1,棱镜护盾,L,2816,5,5
hunter,3,狩猎弹幕,basic,2,龟派气波,R,2666,4,6
basic,2,龟派气波,bubble,2,泡泡束缚,L,3487,6,7
phoenix,1,熔岩盾,basic,2,龟派气波,L,3125,6,5
basic,2,龟派气波,cyber,3,智能AI,R,4587,7,4
space,2,星波,basic,2,龟派气波,R,3451,4,4
basic,2,龟派气波,shell,1,复制,R,3629,4,5
bamboo,3,竹刺阵,basic,3,过肩摔,R,2393,1,5
basic,3,过肩摔,ninja,2,炸弹,R,2576,3,5
diamond,1,坚不可摧,basic,3,过肩摔,R,2880,4,5
basic,3,过肩摔,dice,3,稳定骰子,L,2454,4,2
hunter,2,隐蔽,basic,3,过肩摔,R,2850,4,5
basic,3,过肩摔,bubble,1,泡泡盾,L,3024,5,3
lightning,3,雷盾,basic,3,过肩摔,R,2856,3,5
basic,3,过肩摔,cyber,2,侵入,R,2939,3,4
space,1,虫洞,basic,3,过肩摔,L,3492,7,3
basic,3,过肩摔,headless,3,灵魂打击,R,2575,3,4
bamboo,3,竹刺阵,stone,1,岩石护盾,R,3591,2,6
stone,1,岩石护盾,ninja,2,炸弹,L,2999,5,2
diamond,1,坚不可摧,stone,1,岩石护盾,R,4017,6,7
stone,1,岩石护盾,dice,3,稳定骰子,L,3242,5,3
hunter,2,隐蔽,stone,1,岩石护盾,R,4934,9,8
stone,1,岩石护盾,bubble,1,泡泡盾,L,3898,6,6
lightning,3,雷盾,stone,1,岩石护盾,R,3844,5,6
stone,1,岩石护盾,cyber,2,侵入,R,3252,4,5
space,1,虫洞,stone,1,岩石护盾,R,3751,6,6
stone,1,岩石护盾,headless,3,灵魂打击,R,3220,5,5
angel,1,祝福,stone,2,磐石之躯,R,4072,8,7
stone,2,磐石之躯,ninja,3,背刺,R,3127,6,5
diamond,2,钻石滚球,stone,2,磐石之躯,R,3622,4,7
stone,2,磐石之躯,rainbow,1,棱镜护盾,L,3399,7,6
hunter,3,狩猎弹幕,stone,2,磐石之躯,L,3214,6,4
stone,2,磐石之躯,bubble,2,泡泡束缚,R,3487,5,9
phoenix,1,熔岩盾,stone,2,磐石之躯,L,2428,5,4
stone,2,磐石之躯,cyber,3,智能AI,R,5111,5,7
space,2,星波,stone,2,磐石之躯,R,3775,5,6
stone,2,磐石之躯,shell,1,复制,R,3530,7,5
angel,3,飞升,stone,3,嘲讽,R,2918,5,5
stone,3,嘲讽,two_head,2,精神干扰/吸收,L,3365,5,5
fortune,1,骰子,stone,3,嘲讽,R,3182,5,5
stone,3,嘲讽,rainbow,3,反射,L,2857,5,4
pirate,2,朗姆酒,stone,3,嘲讽,R,3369,3,5
stone,3,嘲讽,line,1,连笔,L,3346,5,5
phoenix,3,强化涅槃,stone,3,嘲讽,L,2246,4,3
stone,3,嘲讽,crystal,2,碎晶爆破,L,3059,5,3
hiding,1,缩头,stone,3,嘲讽,R,3833,5,6
stone,3,嘲讽,shell,3,暗影,R,2972,3,4
ice,3,团队护盾,bamboo,1,自然恢复,R,4294,6,4
bamboo,1,自然恢复,ghost,2,灵魂风暴,R,2349,2,5
dice,1,孤注一掷,bamboo,1,自然恢复,R,3050,2,5
bamboo,1,自然恢复,gambler,3,命运之轮,L,3583,6,5
candy,2,糖衣炮弹,bamboo,1,自然恢复,L,2679,4,3
bamboo,1,自然恢复,lightning,1,涌动,R,4030,3,7
lava,3,熔岩爆发,bamboo,1,自然恢复,R,3458,5,6
bamboo,1,自然恢复,chest,2,财宝风暴,R,3183,3,6
headless,1,恐吓,bamboo,1,自然恢复,R,3659,4,6
bamboo,2,竹击,angel,2,平等,R,3739,5,6
two_head,1,灵能冲击/锤击,bamboo,2,竹击,R,3560,5,6
bamboo,2,竹击,diamond,3,钻石冲撞,R,3338,3,6
rainbow,2,全色风暴,bamboo,2,竹击,R,3076,4,5
bamboo,2,竹击,pirate,1,火炮齐射,R,2333,3,5
bubble,3,泡泡爆破,bamboo,2,竹击,R,3336,5,6
bamboo,2,竹击,phoenix,2,烫伤,R,2252,2,4
crystal,1,水晶壁垒,bamboo,2,竹击,R,3404,6,5
bamboo,2,竹击,space,3,扭曲空间,R,2977,3,4
shell,2,吸收,bamboo,2,竹击,L,3951,7,5
bamboo,3,竹刺阵,ninja,1,手里剑,R,2574,2,5
ghost,3,虚化,bamboo,3,竹刺阵,L,3318,5,2
bamboo,3,竹刺阵,dice,2,命运骰子,L,2555,4,3
hunter,1,精准射击,bamboo,3,竹刺阵,R,3088,5,4
bamboo,3,竹刺阵,candy,3,糖果炸弹,R,2494,2,5
lightning,2,雷暴,bamboo,3,竹刺阵,R,3068,4,5
bamboo,3,竹刺阵,cyber,1,能量大炮,R,3091,3,5
chest,3,财宝炮击,bamboo,3,竹刺阵,R,2530,2,4
bamboo,3,竹刺阵,headless,2,万千触须,R,3636,4,4
ice,2,冰封,angel,1,祝福,R,3580,7,7
angel,1,祝福,ghost,1,幽冥突袭,R,2693,4,6
fortune,3,招财进宝,angel,1,祝福,R,3664,5,8
angel,1,祝福,gambler,2,赌注,R,2780,5,5
candy,1,糖果锤,angel,1,祝福,L,3140,5,5
angel,1,祝福,line,3,墨水炸弹,L,4024,8,6
lava,2,岩浆涌动,angel,1,祝福,R,3239,3,8
angel,1,祝福,chest,1,清点财宝,R,4722,9,9
hiding,3,强化随从,angel,1,祝福,R,4115,7,9
angel,2,平等,ice,1,冰霜,L,3456,10,6
two_head,3,融合,angel,2,平等,R,3483,5,9
angel,2,平等,fortune,2,梭哈,L,2663,8,1
gambler,1,万能牌,angel,2,平等,R,2484,4,6
angel,2,平等,pirate,3,海盗船,R,3725,8,4
line,2,画龙点睛,angel,2,平等,R,2632,3,8
angel,2,平等,lava,1,地裂,L,2928,8,4
crystal,3,水晶球,angel,2,平等,R,2850,4,8
angel,2,平等,hiding,2,防御,L,3303,8,4
ice,1,冰霜,angel,3,飞升,R,3202,5,7
angel,3,飞升,two_head,3,融合,R,3874,8,6
fortune,2,梭哈,angel,3,飞升,R,3630,1,8
angel,3,飞升,gambler,1,万能牌,R,3659,7,9
pirate,3,海盗船,angel,3,飞升,L,3511,3,7
angel,3,飞升,line,2,画龙点睛,L,3553,7,5
lava,1,地裂,angel,3,飞升,R,3017,3,7
angel,3,飞升,crystal,3,水晶球,L,3305,6,5
hiding,2,防御,angel,3,飞升,L,3640,5,7
ice,1,冰霜,ice,2,冰封,R,4275,5,9
ghost,1,幽冥突袭,ice,1,冰霜,L,2809,5,4
