左龟,左技能idx,左技能,右龟,右技能idx,右技能,胜方,帧数,左释放,右释放
basic,1,打击,basic,2,龟派气波,R,2663,3,5
angel,1,祝福,basic,1,打击,R,3286,6,5
basic,1,打击,ninja,3,背刺,R,2573,4,4
diamond,2,钻石滚球,basic,1,打击,L,3916,6,5
basic,1,打击,rainbow,1,棱镜护盾,L,3484,6,6
hunter,3,狩猎弹幕,basic,1,打击,R,3296,5,7
basic,1,打击,bubble,2,泡泡束缚,R,3998,3,9
phoenix,1,熔岩盾,basic,1,打击,L,2642,6,4
basic,1,打击,cyber,3,智能AI,R,4608,7,4
space,2,星波,basic,1,打击,L,3836,6,3
basic,1,打击,shell,1,复制,R,2824,5,4
bamboo,2,竹击,basic,2,龟派气波,R,2502,2,5
basic,2,龟派气波,ninja,1,手里剑,R,2869,4,6
ghost,3,虚化,basic,2,龟派气波,R,3682,5,3
basic,2,龟派气波,dice,2,命运骰子,L,2778,6,4
hunter,1,精准射击,basic,2,龟派气波,R,3104,5,6
basic,2,龟派气波,candy,3,糖果炸弹,R,2705,5,5
lightning,2,雷暴,basic,2,龟派气波,R,3206,4,5
basic,2,龟派气波,cyber,1,能量大炮,R,3644,6,5
chest,3,财宝炮击,basic,2,龟派气波,R,2685,2,6
basic,2,龟派气波,headless,2,万千触须,L,3730,6,3
bamboo,1,自然恢复,basic,3,过肩摔,R,2569,2,5
basic,3,过肩摔,ice,3,团队护盾,L,3343,4,4
ghost,2,灵魂风暴,basic,3,过肩摔,L,2517,5,3
basic,3,过肩摔,dice,1,孤注一掷,L,2445,4,2
gambler,3,命运之轮,basic,3,过肩摔,R,2585,3,5
basic,3,过肩摔,candy,2,糖衣炮弹,L,2917,5,3
lightning,1,涌动,basic,3,过肩摔,R,2755,3,4
basic,3,过肩摔,lava,3,熔岩爆发,R,3459,3,6
chest,2,财宝风暴,basic,3,过肩摔,R,2393,2,5
basic,3,过肩摔,headless,1,恐吓,L,2853,5,3
bamboo,1,自然恢复,stone,1,岩石护盾,R,3317,3,6
stone,1,岩石护盾,ice,3,团队护盾,L,4100,6,6
ghost,2,灵魂风暴,stone,1,岩石护盾,L,2278,4,4
stone,1,岩石护盾,dice,1,孤注一掷,L,3389,5,4
gambler,3,命运之轮,stone,1,岩石护盾,R,3387,4,6
stone,1,岩石护盾,candy,2,糖衣炮弹,R,2755,4,4
lightning,1,涌动,stone,1,岩石护盾,R,3426,5,6
stone,1,岩石护盾,lava,3,熔岩爆发,R,2892,4,5
chest,2,财宝风暴,stone,1,岩石护盾,R,3161,3,5
stone,1,岩石护盾,headless,1,恐吓,R,3908,5,7
bamboo,2,竹击,stone,2,磐石之躯,R,3675,4,8
stone,2,磐石之躯,ninja,1,手里剑,R,3090,6,6
ghost,3,虚化,stone,2,磐石之躯,L,2855,5,5
stone,2,磐石之躯,dice,2,命运骰子,R,3197,6,6
hunter,1,精准射击,stone,2,磐石之躯,L,3687,7,6
stone,2,磐石之躯,candy,3,糖果炸弹,R,2667,5,5
lightning,2,雷暴,stone,2,磐石之躯,R,3557,5,7
stone,2,磐石之躯,cyber,1,能量大炮,R,3518,4,6
chest,3,财宝炮击,stone,2,磐石之躯,R,2872,3,6
stone,2,磐石之躯,headless,2,万千触须,L,4098,8,3
angel,1,祝福,stone,3,嘲讽,R,3195,6,5
stone,3,嘲讽,ninja,3,背刺,L,3329,5,3
diamond,2,钻石滚球,stone,3,嘲讽,R,3147,3,5
stone,3,嘲讽,rainbow,1,棱镜护盾,L,3060,5,6
hunter,3,狩猎弹幕,stone,3,嘲讽,L,3004,4,4
stone,3,嘲讽,bubble,2,泡泡束缚,L,3907,5,8
phoenix,1,熔岩盾,stone,3,嘲讽,L,2248,5,3
stone,3,嘲讽,cyber,3,智能AI,R,4828,6,5
space,2,星波,stone,3,嘲讽,R,3514,5,5
stone,3,嘲讽,shell,1,复制,R,2943,4,4
ice,1,冰霜,bamboo,1,自然恢复,R,3486,5,6
bamboo,1,自然恢复,two_head,3,融合,R,3612,3,6
fortune,2,梭哈,bamboo,1,自然恢复,R,3694,2,5
bamboo,1,自然恢复,gambler,1,万能牌,R,3799,3,8
pirate,3,海盗船,bamboo,1,自然恢复,L,4176,5,5
bamboo,1,自然恢复,line,2,画龙点睛,R,3221,2,5
lava,1,地裂,bamboo,1,自然恢复,R,3887,5,7
bamboo,1,自然恢复,crystal,3,水晶球,R,3024,3,6
hiding,2,防御,bamboo,1,自然恢复,R,4333,5,3
bamboo,2,竹击,bamboo,3,竹刺阵,R,2740,3,3
ninja,2,炸弹,bamboo,2,竹击,L,2534,5,3
bamboo,2,竹击,diamond,1,坚不可摧,L,4423,6,7
dice,3,稳定骰子,bamboo,2,竹击,R,2731,2,3
bamboo,2,竹击,hunter,2,隐蔽,L,3984,5,7
bubble,1,泡泡盾,bamboo,2,竹击,R,3665,5,6
bamboo,2,竹击,lightning,3,雷盾,L,3275,4,4
cyber,2,侵入,bamboo,2,竹击,L,3701,6,5
bamboo,2,竹击,space,1,虫洞,R,3004,3,5
headless,3,灵魂打击,bamboo,2,竹击,L,2633,4,3
bamboo,3,竹刺阵,ice,2,冰封,L,3346,4,6
ghost,1,幽冥突袭,bamboo,3,竹刺阵,L,2470,5,1
bamboo,3,竹刺阵,fortune,3,招财进宝,L,2772,4,2
gambler,2,赌注,bamboo,3,竹刺阵,L,2425,4,2
bamboo,3,竹刺阵,candy,1,糖果锤,R,2640,2,5
line,3,墨水炸弹,bamboo,3,竹刺阵,R,3212,4,3
