左龟,左技能idx,左技能,右龟,右技能idx,右技能,胜方,帧数,左释放,右释放
basic,1,打击,stone,2,磐石之躯,R,3192,4,8
ice,1,冰霜,basic,1,打击,R,2998,4,5
basic,1,打击,two_head,3,融合,L,3636,6,5
fortune,2,梭哈,basic,1,打击,R,2864,1,6
basic,1,打击,gambler,1,万能牌,L,3463,6,6
pirate,3,海盗船,basic,1,打击,L,3689,5,7
basic,1,打击,line,2,画龙点睛,R,3130,4,5
lava,1,地裂,basic,1,打击,R,2947,3,6
basic,1,打击,crystal,3,水晶球,L,3287,7,4
hiding,2,防御,basic,1,打击,R,3313,3,6
basic,2,龟派气波,basic,3,过肩摔,R,2699,3,5
angel,2,平等,basic,2,龟派气波,R,3858,9,5
basic,2,龟派气波,two_head,1,灵能冲击/锤击,L,2531,5,3
diamond,3,钻石冲撞,basic,2,龟派气波,R,3725,6,7
basic,2,龟派气波,rainbow,2,全色风暴,L,2500,5,3
pirate,1,火炮齐射,basic,2,龟派气波,R,2936,3,6
basic,2,龟派气波,bubble,3,泡泡爆破,L,2714,5,4
phoenix,2,烫伤,basic,2,龟派气波,L,2680,5,4
basic,2,龟派气波,crystal,1,水晶壁垒,L,2840,5,3
space,3,扭曲空间,basic,2,龟派气波,R,3337,4,6
basic,2,龟派气波,shell,2,吸收,L,3269,6,3
angel,1,祝福,basic,3,过肩摔,R,2945,5,5
basic,3,过肩摔,ninja,3,背刺,L,2342,4,2
diamond,2,钻石滚球,basic,3,过肩摔,R,2890,3,5
basic,3,过肩摔,rainbow,1,棱镜护盾,L,2588,4,4
hunter,3,狩猎弹幕,basic,3,过肩摔,R,2849,4,5
basic,3,过肩摔,bubble,2,泡泡束缚,L,3557,5,7
phoenix,1,熔岩盾,basic,3,过肩摔,R,3044,4,5
basic,3,过肩摔,cyber,3,智能AI,R,4851,5,4
space,2,星波,basic,3,过肩摔,R,2728,3,4
basic,3,过肩摔,shell,1,复制,R,2870,4,3
angel,1,祝福,stone,1,岩石护盾,R,3902,7,6
stone,1,岩石护盾,ninja,3,背刺,L,3130,5,3
diamond,2,钻石滚球,stone,1,岩石护盾,R,3802,4,6
