左龟,左技能idx,左技能,右龟,右技能idx,右技能,胜方,帧数,左释放,右释放
basic,1,打击,bamboo,2,竹击,R,2923,5,5
ninja,1,手里剑,basic,1,打击,L,2741,5,5
basic,1,打击,ghost,3,虚化,R,2421,3,4
dice,2,命运骰子,basic,1,打击,R,2611,2,5
basic,1,打击,hunter,1,精准射击,L,2966,6,5
candy,3,糖果炸弹,basic,1,打击,L,2322,4,4
basic,1,打击,lightning,2,雷暴,L,3329,6,4
cyber,1,能量大炮,basic,1,打击,L,4277,4,7
basic,1,打击,chest,3,财宝炮击,R,2677,5,4
headless,2,万千触须,basic,1,打击,R,3236,2,7
basic,2,龟派气波,stone,3,嘲讽,L,3125,6,3
ice,2,冰封,basic,2,龟派气波,R,3138,5,5
basic,2,龟派气波,ghost,1,幽冥突袭,R,2778,3,5
fortune,3,招财进宝,basic,2,龟派气波,R,2622,2,6
basic,2,龟派气波,gambler,2,赌注,R,2638,3,5
candy,1,糖果锤,basic,2,龟派气波,L,3298,5,4
basic,2,龟派气波,line,3,墨水炸弹,L,3470,4,4
lava,2,岩浆涌动,basic,2,龟派气波,R,2977,3,6
basic,2,龟派气波,chest,1,清点财宝,L,3350,6,4
hiding,3,强化随从,basic,2,龟派气波,R,3196,4,5
basic,3,过肩摔,stone,2,磐石之躯,L,3083,5,5
ice,1,冰霜,basic,3,过肩摔,R,3083,5,4
basic,3,过肩摔,two_head,3,融合,L,3551,3,4
fortune,2,梭哈,basic,3,过肩摔,R,2381,1,5
basic,3,过肩摔,gambler,1,万能牌,L,2652,4,4
pirate,3,海盗船,basic,3,过肩摔,R,2869,2,4
basic,3,过肩摔,line,2,画龙点睛,L,3189,3,4
lava,1,地裂,basic,3,过肩摔,R,2877,3,5
basic,3,过肩摔,crystal,3,水晶球,L,2712,5,3
hiding,2,防御,basic,3,过肩摔,R,3325,3,5
stone,1,岩石护盾,stone,2,磐石之躯,R,3355,4,6
ice,1,冰霜,stone,1,岩石护盾,R,3482,6,6
stone,1,岩石护盾,two_head,3,融合,L,3440,5,5
fortune,2,梭哈,stone,1,岩石护盾,R,3074,1,5
stone,1,岩石护盾,gambler,1,万能牌,L,3418,5,7
pirate,3,海盗船,stone,1,岩石护盾,L,3845,6,5
stone,1,岩石护盾,line,2,画龙点睛,L,3236,5,4
lava,1,地裂,stone,1,岩石护盾,R,3147,4,5
stone,1,岩石护盾,crystal,3,水晶球,R,2861,4,5
hiding,2,防御,stone,1,岩石护盾,L,4276,5,6
stone,2,磐石之躯,stone,3,嘲讽,R,3845,6,5
ice,2,冰封,stone,2,磐石之躯,R,3250,5,5
stone,2,磐石之躯,ghost,1,幽冥突袭,R,2802,4,5
fortune,3,招财进宝,stone,2,磐石之躯,R,3379,3,7
stone,2,磐石之躯,gambler,2,赌注,R,3600,4,7
candy,1,糖果锤,stone,2,磐石之躯,R,3711,5,5
stone,2,磐石之躯,line,3,墨水炸弹,L,3631,6,5
lava,2,岩浆涌动,stone,2,磐石之躯,R,3541,3,6
stone,2,磐石之躯,chest,1,清点财宝,L,3893,8,5
hiding,3,强化随从,stone,2,磐石之躯,R,3896,5,7
stone,3,嘲讽,bamboo,2,竹击,R,3689,3,6
ninja,1,手里剑,stone,3,嘲讽,L,3599,4,4
stone,3,嘲讽,ghost,3,虚化,R,2648,3,4
dice,2,命运骰子,stone,3,嘲讽,R,2890,2,5
stone,3,嘲讽,hunter,1,精准射击,L,3722,5,6
candy,3,糖果炸弹,stone,3,嘲讽,L,3043,5,3
stone,3,嘲讽,lightning,2,雷暴,L,3162,4,4
cyber,1,能量大炮,stone,3,嘲讽,L,3551,5,5
stone,3,嘲讽,chest,3,财宝炮击,R,3079,4,5
headless,2,万千触须,stone,3,嘲讽,R,3285,2,5
bamboo,1,自然恢复,angel,2,平等,R,3115,2,9
two_head,1,灵能冲击/锤击,bamboo,1,自然恢复,R,3561,5,6
bamboo,1,自然恢复,diamond,3,钻石冲撞,R,3368,4,6
rainbow,2,全色风暴,bamboo,1,自然恢复,R,3142,3,6
bamboo,1,自然恢复,pirate,1,火炮齐射,R,2717,3,6
bubble,3,泡泡爆破,bamboo,1,自然恢复,R,3937,6,7
bamboo,1,自然恢复,phoenix,2,烫伤,R,2491,2,5
crystal,1,水晶壁垒,bamboo,1,自然恢复,R,3642,5,6
bamboo,1,自然恢复,space,3,扭曲空间,R,2963,2,4
shell,2,吸收,bamboo,1,自然恢复,L,4022,7,6
bamboo,2,竹击,ice,3,团队护盾,L,3499,4,5
ghost,2,灵魂风暴,bamboo,2,竹击,L,2227,4,2
bamboo,2,竹击,dice,1,孤注一掷,R,2860,3,5
gambler,3,命运之轮,bamboo,2,竹击,R,2813,3,3
bamboo,2,竹击,candy,2,糖衣炮弹,R,2562,2,4
lightning,1,涌动,bamboo,2,竹击,R,2946,4,4
bamboo,2,竹击,lava,3,熔岩爆发,R,3123,3,6
chest,2,财宝风暴,bamboo,2,竹击,R,3039,4,5
bamboo,2,竹击,headless,1,恐吓,R,2927,2,5
angel,3,飞升,bamboo,3,竹刺阵,R,2834,5,3
bamboo,3,竹刺阵,two_head,2,精神干扰/吸收,R,4064,3,8
fortune,1,骰子,bamboo,3,竹刺阵,R,2930,4,4
bamboo,3,竹刺阵,rainbow,3,反射,L,2702,4,3
pirate,2,朗姆酒,bamboo,3,竹刺阵,R,2893,3,5
bamboo,3,竹刺阵,line,1,连笔,R,2726,2,5
phoenix,3,强化涅槃,bamboo,3,竹刺阵,L,2605,4,3
bamboo,3,竹刺阵,crystal,2,碎晶爆破,L,3456,4,3
hiding,1,缩头,bamboo,3,竹刺阵,R,3467,3,5
bamboo,3,竹刺阵,shell,3,暗影,R,2829,2,4
ninja,3,背刺,angel,1,祝福,L,3449,3,6
angel,1,祝福,diamond,2,钻石滚球,R,3403,6,5
rainbow,1,棱镜护盾,angel,1,祝福,R,3781,10,9
angel,1,祝福,hunter,3,狩猎弹幕,R,3109,6,5
bubble,2,泡泡束缚,angel,1,祝福,L,3729,9,6
angel,1,祝福,phoenix,1,熔岩盾,R,2794,5,6
cyber,3,智能AI,angel,1,祝福,L,4899,4,9
angel,1,祝福,space,2,星波,R,3670,7,6
shell,1,复制,angel,1,祝福,L,3479,4,7
angel,2,平等,ninja,2,炸弹,R,2285,4,3
diamond,1,坚不可摧,angel,2,平等,R,3406,5,9
angel,2,平等,dice,3,稳定骰子,L,3055,7,2
hunter,2,隐蔽,angel,2,平等,R,3081,5,9
angel,2,平等,bubble,1,泡泡盾,L,2914,9,4
lightning,3,雷盾,angel,2,平等,R,2579,3,7
angel,2,平等,cyber,2,侵入,R,3504,8,4
space,1,虫洞,angel,2,平等,R,2950,4,7
angel,2,平等,headless,3,灵魂打击,R,2817,6,4
ninja,2,炸弹,angel,3,飞升,L,2815,5,4
angel,3,飞升,diamond,1,坚不可摧,L,4235,6,6
dice,3,稳定骰子,angel,3,飞升,L,3594,2,7
angel,3,飞升,hunter,2,隐蔽,R,4044,8,9
bubble,1,泡泡盾,angel,3,飞升,R,3810,5,9
angel,3,飞升,lightning,3,雷盾,L,3217,7,4
cyber,2,侵入,angel,3,飞升,L,3432,5,6
angel,3,飞升,space,1,虫洞,R,2906,5,6
headless,3,灵魂打击,angel,3,飞升,L,2640,3,4
ice,1,冰霜,ninja,3,背刺,R,2818,3,5
diamond,2,钻石滚球,ice,1,冰霜,L,3498,4,5
ice,1,冰霜,rainbow,1,棱镜护盾,R,4088,7,7
hunter,3,狩猎弹幕,ice,1,冰霜,L,3306,6,5
ice,1,冰霜,bubble,2,泡泡束缚,R,3351,4,7
phoenix,1,熔岩盾,ice,1,冰霜,L,3199,7,5
ice,1,冰霜,cyber,3,智能AI,R,3929,6,7
space,2,星波,ice,1,冰霜,L,3003,5,4
ice,1,冰霜,shell,1,复制,R,3461,5,5
two_head,2,精神干扰/吸收,ice,2,冰封,R,4639,5,11
ice,2,冰封,fortune,1,骰子,R,3763,7,8
rainbow,3,反射,ice,2,冰封,L,4073,2,8
ice,2,冰封,pirate,2,朗姆酒,R,3994,8,4
line,1,连笔,ice,2,冰封,L,3911,7,8
ice,2,冰封,phoenix,3,强化涅槃,R,3277,6,5
crystal,2,碎晶爆破,ice,2,冰封,L,3852,5,8
ice,2,冰封,hiding,1,缩头,R,4012,8,6
shell,3,暗影,ice,2,冰封,L,3505,3,7
ice,3,团队护盾,ghost,2,灵魂风暴,R,2453,3,4
dice,1,孤注一掷,ice,3,团队护盾,R,4783,2,8
ice,3,团队护盾,gambler,3,命运之轮,L,3927,6,5
candy,2,糖衣炮弹,ice,3,团队护盾,L,3592,4,5
ice,3,团队护盾,lightning,1,涌动,L,3622,6,5
lava,3,熔岩爆发,ice,3,团队护盾,L,4464,7,6
ice,3,团队护盾,chest,2,财宝风暴,R,3628,5,7
headless,1,恐吓,ice,3,团队护盾,L,3424,5,4
ninja,1,手里剑,two_head,1,灵能冲击/锤击,L,2772,5,3
diamond,3,钻石冲撞,ninja,1,手里剑,R,3302,6,7
ninja,1,手里剑,rainbow,2,全色风暴,L,2632,4,3
pirate,1,火炮齐射,ninja,1,手里剑,R,2601,3,5
ninja,1,手里剑,bubble,3,泡泡爆破,L,2979,5,4
phoenix,2,烫伤,ninja,1,手里剑,L,2621,5,3
ninja,1,手里剑,crystal,1,水晶壁垒,L,3496,3,4
space,3,扭曲空间,ninja,1,手里剑,R,2832,3,6
ninja,1,手里剑,shell,2,吸收,L,3642,6,6
ghost,3,虚化,ninja,2,炸弹,R,2622,3,4
ninja,2,炸弹,dice,2,命运骰子,L,2181,4,3
hunter,1,精准射击,ninja,2,炸弹,R,2749,4,5
ninja,2,炸弹,candy,3,糖果炸弹,R,2302,2,4
lightning,2,雷暴,ninja,2,炸弹,R,2476,3,5
ninja,2,炸弹,cyber,1,能量大炮,R,4046,4,4
chest,3,财宝炮击,ninja,2,炸弹,R,2555,3,5
ninja,2,炸弹,headless,2,万千触须,R,3249,3,3
ghost,1,幽冥突袭,ninja,3,背刺,L,2890,5,3
