左龟,左技能idx,左技能,右龟,右技能idx,右技能,胜方,帧数,左释放,右释放
basic,1,打击,bamboo,1,自然恢复,L,3912,5,3
ice,3,团队护盾,basic,1,打击,R,3244,4,5
basic,1,打击,ghost,2,灵魂风暴,R,2347,3,5
dice,1,孤注一掷,basic,1,打击,R,2797,2,5
basic,1,打击,gambler,3,命运之轮,L,3473,4,4
candy,2,糖衣炮弹,basic,1,打击,L,2679,3,4
basic,1,打击,lightning,1,涌动,L,3137,5,4
lava,3,熔岩爆发,basic,1,打击,R,2891,4,6
basic,1,打击,chest,2,财宝风暴,R,2918,5,5
headless,1,恐吓,basic,1,打击,R,3785,3,7
basic,2,龟派气波,stone,2,磐石之躯,L,3266,5,6
ice,1,冰霜,basic,2,龟派气波,R,3457,5,6
basic,2,龟派气波,two_head,3,融合,L,3042,5,3
fortune,2,梭哈,basic,2,龟派气波,R,2682,1,6
basic,2,龟派气波,gambler,1,万能牌,L,3257,6,6
pirate,3,海盗船,basic,2,龟派气波,R,3667,3,7
basic,2,龟派气波,line,2,画龙点睛,R,3979,3,7
lava,1,地裂,basic,2,龟派气波,R,2936,3,6
basic,2,龟派气波,crystal,3,水晶球,L,2876,5,4
hiding,2,防御,basic,2,龟派气波,R,3130,3,6
basic,3,过肩摔,stone,1,岩石护盾,L,2710,3,3
angel,3,飞升,basic,3,过肩摔,R,2643,4,5
basic,3,过肩摔,two_head,2,精神干扰/吸收,L,2893,4,5
fortune,1,骰子,basic,3,过肩摔,R,2373,3,4
basic,3,过肩摔,rainbow,3,反射,L,2478,5,2
pirate,2,朗姆酒,basic,3,过肩摔,R,2377,2,5
basic,3,过肩摔,line,1,连笔,L,3306,3,5
phoenix,3,强化涅槃,basic,3,过肩摔,L,2918,4,4
basic,3,过肩摔,crystal,2,碎晶爆破,L,2681,4,2
hiding,1,缩头,basic,3,过肩摔,R,3313,3,5
basic,3,过肩摔,shell,3,暗影,R,2981,3,4
angel,3,飞升,stone,1,岩石护盾,R,3042,5,5
stone,1,岩石护盾,two_head,2,精神干扰/吸收,L,3349,6,5
fortune,1,骰子,stone,1,岩石护盾,R,3256,5,5
stone,1,岩石护盾,rainbow,3,反射,L,3459,5,5
pirate,2,朗姆酒,stone,1,岩石护盾,R,4058,5,7
stone,1,岩石护盾,line,1,连笔,L,3837,6,7
phoenix,3,强化涅槃,stone,1,岩石护盾,L,2420,4,4
stone,1,岩石护盾,crystal,2,碎晶爆破,L,3633,6,4
hiding,1,缩头,stone,1,岩石护盾,R,3628,4,6
stone,1,岩石护盾,shell,3,暗影,R,3353,5,4
ice,1,冰霜,stone,2,磐石之躯,R,3280,4,6
stone,2,磐石之躯,two_head,3,融合,L,4114,6,5
fortune,2,梭哈,stone,2,磐石之躯,R,3129,1,7
