左龟,左技能idx,左技能,右龟,右技能idx,右技能,胜方,帧数,左释放,右释放
basic,1,打击,bamboo,3,竹刺阵,R,2874,4,4
ninja,2,炸弹,basic,1,打击,L,2549,4,4
basic,1,打击,diamond,1,坚不可摧,L,4221,7,6
dice,3,稳定骰子,basic,1,打击,R,2669,2,5
basic,1,打击,hunter,2,隐蔽,R,4599,4,10
bubble,1,泡泡盾,basic,1,打击,R,3002,4,6
basic,1,打击,lightning,3,雷盾,L,3239,6,4
cyber,2,侵入,basic,1,打击,L,4142,4,7
basic,1,打击,space,1,虫洞,R,3295,4,6
headless,3,灵魂打击,basic,1,打击,L,2664,4,5
basic,2,龟派气波,bamboo,1,自然恢复,L,2993,6,3
ice,3,团队护盾,basic,2,龟派气波,R,3601,5,6
basic,2,龟派气波,ghost,2,灵魂风暴,R,2408,3,4
dice,1,孤注一掷,basic,2,龟派气波,R,2317,1,5
basic,2,龟派气波,gambler,3,命运之轮,L,2545,4,3
candy,2,糖衣炮弹,basic,2,龟派气波,R,3297,3,7
basic,2,龟派气波,lightning,1,涌动,L,2786,5,3
lava,3,熔岩爆发,basic,2,龟派气波,R,2978,4,6
basic,2,龟派气波,chest,2,财宝风暴,L,2906,6,3
headless,1,恐吓,basic,2,龟派气波,R,3139,3,5
basic,3,过肩摔,stone,3,嘲讽,L,2776,4,3
ice,2,冰封,basic,3,过肩摔,R,3316,6,5
basic,3,过肩摔,ghost,1,幽冥突袭,R,2450,3,5
fortune,3,招财进宝,basic,3,过肩摔,R,2427,2,5
basic,3,过肩摔,gambler,2,赌注,R,2534,2,5
candy,1,糖果锤,basic,3,过肩摔,R,2739,3,5
basic,3,过肩摔,line,3,墨水炸弹,L,3334,3,4
lava,2,岩浆涌动,basic,3,过肩摔,R,2778,2,4
basic,3,过肩摔,chest,1,清点财宝,L,3261,6,3
hiding,3,强化随从,basic,3,过肩摔,R,2613,4,5
stone,1,岩石护盾,stone,3,嘲讽,R,3778,5,6
ice,2,冰封,stone,1,岩石护盾,R,3851,8,6
stone,1,岩石护盾,ghost,1,幽冥突袭,R,3427,5,7
fortune,3,招财进宝,stone,1,岩石护盾,R,3407,3,6
stone,1,岩石护盾,gambler,2,赌注,R,3207,3,6
candy,1,糖果锤,stone,1,岩石护盾,R,2979,3,6
stone,1,岩石护盾,line,3,墨水炸弹,R,3151,4,5
lava,2,岩浆涌动,stone,1,岩石护盾,R,3135,3,5
stone,1,岩石护盾,chest,1,清点财宝,L,3550,6,6
hiding,3,强化随从,stone,1,岩石护盾,R,3559,7,6
stone,2,磐石之躯,bamboo,1,自然恢复,L,3232,7,3
ice,3,团队护盾,stone,2,磐石之躯,R,3544,4,5
stone,2,磐石之躯,ghost,2,灵魂风暴,R,2241,3,4
dice,1,孤注一掷,stone,2,磐石之躯,R,2915,1,6
stone,2,磐石之躯,gambler,3,命运之轮,L,3415,5,5
candy,2,糖衣炮弹,stone,2,磐石之躯,L,3030,4,5
stone,2,磐石之躯,lightning,1,涌动,L,3417,6,4
lava,3,熔岩爆发,stone,2,磐石之躯,R,3344,5,6
stone,2,磐石之躯,chest,2,财宝风暴,R,3421,7,6
headless,1,恐吓,stone,2,磐石之躯,R,3028,2,7
stone,3,嘲讽,bamboo,3,竹刺阵,R,2961,4,4
ninja,2,炸弹,stone,3,嘲讽,R,3505,2,5
stone,3,嘲讽,diamond,1,坚不可摧,L,4097,6,6
dice,3,稳定骰子,stone,3,嘲讽,R,2584,2,4
stone,3,嘲讽,hunter,2,隐蔽,L,3706,5,7
bubble,1,泡泡盾,stone,3,嘲讽,R,3631,5,6
stone,3,嘲讽,lightning,3,雷盾,L,3384,5,4
cyber,2,侵入,stone,3,嘲讽,L,3516,5,4
stone,3,嘲讽,space,1,虫洞,R,2936,3,6
headless,3,灵魂打击,stone,3,嘲讽,R,3128,3,5
bamboo,1,自然恢复,angel,3,飞升,L,3510,4,7
two_head,2,精神干扰/吸收,bamboo,1,自然恢复,R,4023,6,7
