左龟,左技能idx,左技能,右龟,右技能idx,右技能,胜方,帧数,左释放,右释放
basic,1,打击,stone,1,岩石护盾,R,3004,5,5
angel,3,飞升,basic,1,打击,R,2771,5,6
basic,1,打击,two_head,2,精神干扰/吸收,L,3475,6,5
fortune,1,骰子,basic,1,打击,R,3057,6,7
basic,1,打击,rainbow,3,反射,R,2133,3,4
pirate,2,朗姆酒,basic,1,打击,R,3448,4,8
basic,1,打击,line,1,连笔,L,3189,5,5
phoenix,3,强化涅槃,basic,1,打击,L,3152,4,5
basic,1,打击,crystal,2,碎晶爆破,R,2759,4,4
hiding,1,缩头,basic,1,打击,R,3034,3,6
basic,1,打击,shell,3,暗影,R,3380,4,5
angel,1,祝福,basic,2,龟派气波,R,2872,5,6
basic,2,龟派气波,ninja,3,背刺,L,2895,6,4
diamond,2,钻石滚球,basic,2,龟派气波,R,3312,3,5
basic,2,龟派气波,rainbow,1,棱镜护盾,R,3029,4,9
hunter,3,狩猎弹幕,basic,2,龟派气波,R,2698,4,6
basic,2,龟派气波,bubble,2,泡泡束缚,L,3191,5,5
phoenix,1,熔岩盾,basic,2,龟派气波,R,3395,5,7
basic,2,龟派气波,cyber,3,智能AI,L,4377,8,3
space,2,星波,basic,2,龟派气波,R,2761,3,6
basic,2,龟派气波,shell,1,复制,L,3357,4,3
bamboo,3,竹刺阵,basic,3,过肩摔,R,2393,1,5
basic,3,过肩摔,ninja,2,炸弹,R,2633,3,5
diamond,1,坚不可摧,basic,3,过肩摔,R,2818,3,5
basic,3,过肩摔,dice,3,稳定骰子,L,2397,4,2
hunter,2,隐蔽,basic,3,过肩摔,R,2877,4,5
basic,3,过肩摔,bubble,1,泡泡盾,L,2671,4,3
lightning,3,雷盾,basic,3,过肩摔,R,2612,3,5
basic,3,过肩摔,cyber,2,侵入,R,3794,5,3
space,1,虫洞,basic,3,过肩摔,L,3577,5,3
basic,3,过肩摔,headless,3,灵魂打击,R,2956,3,4
bamboo,3,竹刺阵,stone,1,岩石护盾,R,2925,3,5
stone,1,岩石护盾,ninja,2,炸弹,R,2837,4,5
diamond,1,坚不可摧,stone,1,岩石护盾,R,3778,6,6
stone,1,岩石护盾,dice,3,稳定骰子,L,2630,4,2
hunter,2,隐蔽,stone,1,岩石护盾,R,3796,7,6
stone,1,岩石护盾,bubble,1,泡泡盾,L,3225,5,4
lightning,3,雷盾,stone,1,岩石护盾,R,3434,5,6
stone,1,岩石护盾,cyber,2,侵入,R,3595,5,6
space,1,虫洞,stone,1,岩石护盾,R,3071,4,5
stone,1,岩石护盾,headless,3,灵魂打击,R,2895,4,4
angel,1,祝福,stone,2,磐石之躯,R,3307,6,6
stone,2,磐石之躯,ninja,3,背刺,R,3583,6,3
diamond,2,钻石滚球,stone,2,磐石之躯,R,3189,3,6
stone,2,磐石之躯,rainbow,1,棱镜护盾,R,2703,5,8
hunter,3,狩猎弹幕,stone,2,磐石之躯,R,2903,4,5
stone,2,磐石之躯,bubble,2,泡泡束缚,L,4050,6,9
phoenix,1,熔岩盾,stone,2,磐石之躯,L,2932,6,5
stone,2,磐石之躯,cyber,3,智能AI,R,4658,7,5
space,2,星波,stone,2,磐石之躯,R,3251,4,6
stone,2,磐石之躯,shell,1,复制,L,3239,8,3
angel,3,飞升,stone,3,嘲讽,R,2946,5,5
stone,3,嘲讽,two_head,2,精神干扰/吸收,L,3359,3,5
fortune,1,骰子,stone,3,嘲讽,R,3137,5,5
stone,3,嘲讽,rainbow,3,反射,R,2186,3,4
pirate,2,朗姆酒,stone,3,嘲讽,R,3417,3,5
stone,3,嘲讽,line,1,连笔,L,3247,3,5
phoenix,3,强化涅槃,stone,3,嘲讽,L,2740,3,4
stone,3,嘲讽,crystal,2,碎晶爆破,R,2790,3,5
hiding,1,缩头,stone,3,嘲讽,L,3677,5,5
stone,3,嘲讽,shell,3,暗影,R,3873,3,5
ice,3,团队护盾,bamboo,1,自然恢复,R,3541,5,6
bamboo,1,自然恢复,ghost,2,灵魂风暴,R,2339,2,5
dice,1,孤注一掷,bamboo,1,自然恢复,R,3484,3,3
bamboo,1,自然恢复,gambler,3,命运之轮,L,3263,5,4
candy,2,糖衣炮弹,bamboo,1,自然恢复,L,2838,4,3
bamboo,1,自然恢复,lightning,1,涌动,L,3272,6,4
lava,3,熔岩爆发,bamboo,1,自然恢复,L,3472,6,3
bamboo,1,自然恢复,chest,2,财宝风暴,R,2944,3,6
headless,1,恐吓,bamboo,1,自然恢复,L,3655,6,4
bamboo,2,竹击,angel,2,平等,R,2965,2,8
two_head,1,灵能冲击/锤击,bamboo,2,竹击,R,3265,4,5
bamboo,2,竹击,diamond,3,钻石冲撞,R,3000,2,7
rainbow,2,全色风暴,bamboo,2,竹击,L,2258,4,2
bamboo,2,竹击,pirate,1,火炮齐射,R,2682,3,5
bubble,3,泡泡爆破,bamboo,2,竹击,R,3302,5,5
bamboo,2,竹击,phoenix,2,烫伤,R,2272,2,4
crystal,1,水晶壁垒,bamboo,2,竹击,R,3463,5,6
bamboo,2,竹击,space,3,扭曲空间,R,3289,4,5
shell,2,吸收,bamboo,2,竹击,R,3431,5,5
bamboo,3,竹刺阵,ninja,1,手里剑,R,2587,2,5
ghost,3,虚化,bamboo,3,竹刺阵,R,2924,4,4
bamboo,3,竹刺阵,dice,2,命运骰子,L,2880,3,3
hunter,1,精准射击,bamboo,3,竹刺阵,R,2760,4,4
bamboo,3,竹刺阵,candy,3,糖果炸弹,R,2943,2,5
lightning,2,雷暴,bamboo,3,竹刺阵,R,2786,4,4
bamboo,3,竹刺阵,cyber,1,能量大炮,R,3120,3,5
chest,3,财宝炮击,bamboo,3,竹刺阵,R,2552,3,3
bamboo,3,竹刺阵,headless,2,万千触须,R,3640,3,4
ice,2,冰封,angel,1,祝福,R,3539,7,7
angel,1,祝福,ghost,1,幽冥突袭,R,2658,4,5
fortune,3,招财进宝,angel,1,祝福,R,3527,2,9
angel,1,祝福,gambler,2,赌注,R,2824,5,6
candy,1,糖果锤,angel,1,祝福,L,3573,5,7
angel,1,祝福,line,3,墨水炸弹,R,3478,7,6
lava,2,岩浆涌动,angel,1,祝福,L,3823,4,7
angel,1,祝福,chest,1,清点财宝,R,3214,6,6
hiding,3,强化随从,angel,1,祝福,L,3823,5,7
angel,2,平等,ice,1,冰霜,L,3203,8,5
two_head,3,融合,angel,2,平等,R,2897,4,7
angel,2,平等,fortune,2,梭哈,L,2741,7,1
gambler,1,万能牌,angel,2,平等,R,2628,4,7
angel,2,平等,pirate,3,海盗船,R,3346,7,2
line,2,画龙点睛,angel,2,平等,R,2794,4,8
angel,2,平等,lava,1,地裂,L,2925,7,3
crystal,3,水晶球,angel,2,平等,R,2749,2,7
angel,2,平等,hiding,2,防御,L,3403,8,4
ice,1,冰霜,angel,3,飞升,R,3202,5,7
angel,3,飞升,two_head,3,融合,R,3800,7,6
fortune,2,梭哈,angel,3,飞升,R,3099,1,6
angel,3,飞升,gambler,1,万能牌,R,3542,7,7
pirate,3,海盗船,angel,3,飞升,L,3515,3,6
angel,3,飞升,line,2,画龙点睛,R,3587,7,5
lava,1,地裂,angel,3,飞升,L,3595,5,7
angel,3,飞升,crystal,3,水晶球,R,3269,6,5
hiding,2,防御,angel,3,飞升,L,3319,5,6
ice,1,冰霜,ice,2,冰封,R,3873,6,8
ghost,1,幽冥突袭,ice,1,冰霜,L,2739,5,4
ice,1,冰霜,fortune,3,招财进宝,R,3466,5,4
gambler,2,赌注,ice,1,冰霜,L,2850,5,4
ice,1,冰霜,candy,1,糖果锤,R,2925,4,6
line,3,墨水炸弹,ice,1,冰霜,R,3568,5,7
