左龟,左技能idx,左技能,右龟,右技能idx,右技能,胜方,帧数,左释放,右释放
basic,1,打击,stone,1,岩石护盾,R,3004,4,5
angel,3,飞升,basic,1,打击,R,2772,6,6
basic,1,打击,two_head,2,精神干扰/吸收,L,3321,5,5
fortune,1,骰子,basic,1,打击,R,3030,6,7
basic,1,打击,rainbow,3,反射,L,3493,6,3
pirate,2,朗姆酒,basic,1,打击,R,3315,4,7
basic,1,打击,line,1,连笔,R,3714,4,7
phoenix,3,强化涅槃,basic,1,打击,R,3053,4,7
basic,1,打击,crystal,2,碎晶爆破,L,3489,6,3
hiding,1,缩头,basic,1,打击,R,3032,3,6
basic,1,打击,shell,3,暗影,R,3732,4,6
angel,1,祝福,basic,2,龟派气波,R,3227,5,7
basic,2,龟派气波,ninja,3,背刺,L,2747,6,3
diamond,2,钻石滚球,basic,2,龟派气波,R,3223,3,5
basic,2,龟派气波,rainbow,1,棱镜护盾,L,3130,5,5
hunter,3,狩猎弹幕,basic,2,龟派气波,R,2701,4,6
basic,2,龟派气波,bubble,2,泡泡束缚,L,3812,4,8
phoenix,1,熔岩盾,basic,2,龟派气波,R,3139,5,6
basic,2,龟派气波,cyber,3,智能AI,L,4763,7,4
space,2,星波,basic,2,龟派气波,R,2993,4,6
basic,2,龟派气波,shell,1,复制,L,3347,4,3
bamboo,3,竹刺阵,basic,3,过肩摔,R,2494,2,5
basic,3,过肩摔,ninja,2,炸弹,R,2563,3,5
diamond,1,坚不可摧,basic,3,过肩摔,R,2897,4,5
basic,3,过肩摔,dice,3,稳定骰子,L,2545,5,3
hunter,2,隐蔽,basic,3,过肩摔,R,2827,4,5
basic,3,过肩摔,bubble,1,泡泡盾,L,3099,5,4
lightning,3,雷盾,basic,3,过肩摔,R,2612,3,5
basic,3,过肩摔,cyber,2,侵入,R,4166,5,3
space,1,虫洞,basic,3,过肩摔,L,3621,6,3
basic,3,过肩摔,headless,3,灵魂打击,L,2535,5,3
bamboo,3,竹刺阵,stone,1,岩石护盾,R,2967,2,5
stone,1,岩石护盾,ninja,2,炸弹,R,2755,4,5
diamond,1,坚不可摧,stone,1,岩石护盾,R,3874,6,6
stone,1,岩石护盾,dice,3,稳定骰子,L,2831,5,2
hunter,2,隐蔽,stone,1,岩石护盾,R,3979,7,6
stone,1,岩石护盾,bubble,1,泡泡盾,L,3637,5,5
lightning,3,雷盾,stone,1,岩石护盾,R,3161,4,5
stone,1,岩石护盾,cyber,2,侵入,R,4722,6,4
space,1,虫洞,stone,1,岩石护盾,R,3834,6,6
stone,1,岩石护盾,headless,3,灵魂打击,R,2984,4,4
angel,1,祝福,stone,2,磐石之躯,R,3270,6,7
stone,2,磐石之躯,ninja,3,背刺,L,3565,6,3
diamond,2,钻石滚球,stone,2,磐石之躯,R,3255,3,7
stone,2,磐石之躯,rainbow,1,棱镜护盾,L,3939,8,6
hunter,3,狩猎弹幕,stone,2,磐石之躯,L,3110,6,5
stone,2,磐石之躯,bubble,2,泡泡束缚,L,3646,6,7
phoenix,1,熔岩盾,stone,2,磐石之躯,L,3628,8,6
stone,2,磐石之躯,cyber,3,智能AI,L,4807,6,5
space,2,星波,stone,2,磐石之躯,L,2981,4,5
stone,2,磐石之躯,shell,1,复制,L,3161,7,2
angel,3,飞升,stone,3,嘲讽,R,2992,5,5
stone,3,嘲讽,two_head,2,精神干扰/吸收,L,3194,5,5
fortune,1,骰子,stone,3,嘲讽,R,3180,5,5
stone,3,嘲讽,rainbow,3,反射,R,3001,4,5
pirate,2,朗姆酒,stone,3,嘲讽,R,3304,3,5
stone,3,嘲讽,line,1,连笔,R,3287,3,6
