左龟,左技能idx,左技能,右龟,右技能idx,右技能,胜方,帧数,左释放,右释放
basic,1,打击,basic,2,龟派气波,R,2931,3,6
angel,1,祝福,basic,1,打击,R,3393,6,8
basic,1,打击,ninja,3,背刺,R,2637,4,5
diamond,2,钻石滚球,basic,1,打击,R,3260,4,7
basic,1,打击,rainbow,1,棱镜护盾,L,3801,7,6
hunter,3,狩猎弹幕,basic,1,打击,R,2700,4,6
basic,1,打击,bubble,2,泡泡束缚,L,3795,4,8
phoenix,1,熔岩盾,basic,1,打击,R,3302,6,7
basic,1,打击,cyber,3,智能AI,R,4638,8,4
space,2,星波,basic,1,打击,L,2953,4,5
basic,1,打击,shell,1,复制,L,3080,6,3
bamboo,2,竹击,basic,2,龟派气波,R,2483,2,6
basic,2,龟派气波,ninja,1,手里剑,L,3049,5,4
ghost,3,虚化,basic,2,龟派气波,R,2645,3,6
basic,2,龟派气波,dice,2,命运骰子,L,2839,5,3
hunter,1,精准射击,basic,2,龟派气波,R,2871,4,6
basic,2,龟派气波,candy,3,糖果炸弹,R,2853,4,5
lightning,2,雷暴,basic,2,龟派气波,R,2588,3,6
basic,2,龟派气波,cyber,1,能量大炮,L,4290,8,3
chest,3,财宝炮击,basic,2,龟派气波,R,2575,2,5
basic,2,龟派气波,headless,2,万千触须,L,3465,7,3
bamboo,1,自然恢复,basic,3,过肩摔,R,2548,2,5
basic,3,过肩摔,ice,3,团队护盾,L,3006,5,3
ghost,2,灵魂风暴,basic,3,过肩摔,L,2940,4,4
basic,3,过肩摔,dice,1,孤注一掷,L,2453,5,3
gambler,3,命运之轮,basic,3,过肩摔,R,2404,3,5
basic,3,过肩摔,candy,2,糖衣炮弹,L,3304,5,3
lightning,1,涌动,basic,3,过肩摔,R,2705,3,4
basic,3,过肩摔,lava,3,熔岩爆发,L,2768,5,4
chest,2,财宝风暴,basic,3,过肩摔,R,2475,2,5
basic,3,过肩摔,headless,1,恐吓,L,2988,3,3
bamboo,1,自然恢复,stone,1,岩石护盾,R,3430,4,6
stone,1,岩石护盾,ice,3,团队护盾,L,3607,6,5
ghost,2,灵魂风暴,stone,1,岩石护盾,L,2526,5,3
stone,1,岩石护盾,dice,1,孤注一掷,L,2824,5,4
gambler,3,命运之轮,stone,1,岩石护盾,R,3102,4,5
stone,1,岩石护盾,candy,2,糖衣炮弹,R,2942,5,5
lightning,1,涌动,stone,1,岩石护盾,R,3131,4,5
stone,1,岩石护盾,lava,3,熔岩爆发,R,2918,4,5
chest,2,财宝风暴,stone,1,岩石护盾,R,3121,4,5
stone,1,岩石护盾,headless,1,恐吓,R,3670,4,6
bamboo,2,竹击,stone,2,磐石之躯,R,3251,2,8
stone,2,磐石之躯,ninja,1,手里剑,R,2953,5,5
ghost,3,虚化,stone,2,磐石之躯,L,2890,5,5
stone,2,磐石之躯,dice,2,命运骰子,L,2851,6,3
hunter,1,精准射击,stone,2,磐石之躯,R,3848,6,7
stone,2,磐石之躯,candy,3,糖果炸弹,R,3380,6,3
lightning,2,雷暴,stone,2,磐石之躯,R,2877,3,6
stone,2,磐石之躯,cyber,1,能量大炮,R,4487,6,5
chest,3,财宝炮击,stone,2,磐石之躯,R,3105,2,8
stone,2,磐石之躯,headless,2,万千触须,L,3781,7,2
angel,1,祝福,stone,3,嘲讽,R,3386,6,5
stone,3,嘲讽,ninja,3,背刺,R,3566,4,4
diamond,2,钻石滚球,stone,3,嘲讽,R,3296,3,5
stone,3,嘲讽,rainbow,1,棱镜护盾,L,3618,5,9
hunter,3,狩猎弹幕,stone,3,嘲讽,R,2992,4,5
stone,3,嘲讽,bubble,2,泡泡束缚,L,3591,5,7
phoenix,1,熔岩盾,stone,3,嘲讽,L,3780,8,5
stone,3,嘲讽,cyber,3,智能AI,R,4590,4,4
space,2,星波,stone,3,嘲讽,R,3018,3,5
stone,3,嘲讽,shell,1,复制,L,3345,3,4
ice,1,冰霜,bamboo,1,自然恢复,R,3369,5,6
bamboo,1,自然恢复,two_head,3,融合,L,3585,5,5
fortune,2,梭哈,bamboo,1,自然恢复,R,3340,2,6
bamboo,1,自然恢复,gambler,1,万能牌,L,3663,5,7
pirate,3,海盗船,bamboo,1,自然恢复,L,3884,5,5
bamboo,1,自然恢复,line,2,画龙点睛,L,3574,3,5
lava,1,地裂,bamboo,1,自然恢复,L,3549,5,4
bamboo,1,自然恢复,crystal,3,水晶球,R,3357,3,6
hiding,2,防御,bamboo,1,自然恢复,L,3788,5,5
bamboo,2,竹击,bamboo,3,竹刺阵,R,2934,3,4
ninja,2,炸弹,bamboo,2,竹击,L,2574,4,3
bamboo,2,竹击,diamond,1,坚不可摧,L,3930,5,6
dice,3,稳定骰子,bamboo,2,竹击,R,2833,2,5
bamboo,2,竹击,hunter,2,隐蔽,L,3747,5,6
bubble,1,泡泡盾,bamboo,2,竹击,R,3181,4,5
bamboo,2,竹击,lightning,3,雷盾,L,3243,4,4
cyber,2,侵入,bamboo,2,竹击,R,4264,3,6
bamboo,2,竹击,space,1,虫洞,L,3515,4,5
headless,3,灵魂打击,bamboo,2,竹击,L,2831,4,2
bamboo,3,竹刺阵,ice,2,冰封,L,3643,4,6
ghost,1,幽冥突袭,bamboo,3,竹刺阵,L,3133,5,2
bamboo,3,竹刺阵,fortune,3,招财进宝,L,2721,4,2
gambler,2,赌注,bamboo,3,竹刺阵,L,2520,5,2
bamboo,3,竹刺阵,candy,1,糖果锤,R,2893,2,4
line,3,墨水炸弹,bamboo,3,竹刺阵,R,2695,3,4
bamboo,3,竹刺阵,lava,2,岩浆涌动,L,2909,4,3
chest,1,清点财宝,bamboo,3,竹刺阵,R,2713,3,4
bamboo,3,竹刺阵,hiding,3,强化随从,R,3015,3,7
angel,3,飞升,angel,1,祝福,R,3263,6,8
angel,1,祝福,two_head,2,精神干扰/吸收,R,4444,8,9
fortune,1,骰子,angel,1,祝福,R,3333,6,8
angel,1,祝福,rainbow,3,反射,L,3465,6,3
pirate,2,朗姆酒,angel,1,祝福,L,4493,7,9
angel,1,祝福,line,1,连笔,L,4160,10,7
phoenix,3,强化涅槃,angel,1,祝福,R,4215,6,11
angel,1,祝福,crystal,2,碎晶爆破,L,3393,8,3
