左龟,左技能idx,左技能,右龟,右技能idx,右技能,胜方,帧数,左释放,右释放
basic,1,打击,stone,3,嘲讽,R,3285,5,3
ice,2,冰封,basic,1,打击,R,3115,5,6
basic,1,打击,ghost,1,幽冥突袭,R,2551,3,5
fortune,3,招财进宝,basic,1,打击,R,3065,2,7
basic,1,打击,gambler,2,赌注,R,3128,3,6
candy,1,糖果锤,basic,1,打击,R,3294,4,7
basic,1,打击,line,3,墨水炸弹,L,3543,4,5
lava,2,岩浆涌动,basic,1,打击,R,3007,3,6
basic,1,打击,chest,1,清点财宝,R,3360,5,6
hiding,3,强化随从,basic,1,打击,R,2836,4,6
basic,2,龟派气波,stone,1,岩石护盾,R,3018,4,5
angel,3,飞升,basic,2,龟派气波,R,3200,7,5
basic,2,龟派气波,two_head,2,精神干扰/吸收,L,2911,6,4
fortune,1,骰子,basic,2,龟派气波,R,2716,4,6
basic,2,龟派气波,rainbow,3,反射,L,2478,5,2
pirate,2,朗姆酒,basic,2,龟派气波,R,2636,2,5
basic,2,龟派气波,line,1,连笔,L,2616,6,4
phoenix,3,强化涅槃,basic,2,龟派气波,R,3085,3,6
basic,2,龟派气波,crystal,2,碎晶爆破,L,2708,5,3
hiding,1,缩头,basic,2,龟派气波,R,3052,3,5
basic,2,龟派气波,shell,3,暗影,R,4017,7,5
angel,2,平等,basic,3,过肩摔,R,2730,6,4
basic,3,过肩摔,two_head,1,灵能冲击/锤击,L,2937,4,4
diamond,3,钻石冲撞,basic,3,过肩摔,R,3073,4,5
basic,3,过肩摔,rainbow,2,全色风暴,L,2807,4,2
pirate,1,火炮齐射,basic,3,过肩摔,R,2419,2,5
basic,3,过肩摔,bubble,3,泡泡爆破,L,2632,5,4
phoenix,2,烫伤,basic,3,过肩摔,R,2610,3,5
basic,3,过肩摔,crystal,1,水晶壁垒,L,2421,4,3
space,3,扭曲空间,basic,3,过肩摔,R,2544,2,5
basic,3,过肩摔,shell,2,吸收,L,2529,4,3
