左龟,左技能idx,左技能,右龟,右技能idx,右技能,胜方,帧数,左释放,右释放
basic,1,打击,bamboo,1,自然恢复,R,3551,5,6
ice,3,团队护盾,basic,1,打击,R,3036,4,6
basic,1,打击,ghost,2,灵魂风暴,R,2174,3,5
dice,1,孤注一掷,basic,1,打击,R,2862,3,6
basic,1,打击,gambler,3,命运之轮,L,2830,5,3
candy,2,糖衣炮弹,basic,1,打击,L,2734,3,4
basic,1,打击,lightning,1,涌动,L,3070,6,4
lava,3,熔岩爆发,basic,1,打击,L,3032,4,5
basic,1,打击,chest,2,财宝风暴,R,2747,5,5
headless,1,恐吓,basic,1,打击,R,3310,3,7
basic,2,龟派气波,stone,2,磐石之躯,L,3337,6,6
ice,1,冰霜,basic,2,龟派气波,R,3231,4,6
basic,2,龟派气波,two_head,3,融合,L,3502,6,4
fortune,2,梭哈,basic,2,龟派气波,R,2592,1,6
basic,2,龟派气波,gambler,1,万能牌,L,2929,6,4
pirate,3,海盗船,basic,2,龟派气波,R,3396,2,6
basic,2,龟派气波,line,2,画龙点睛,L,2721,6,3
lava,1,地裂,basic,2,龟派气波,R,2973,3,6
basic,2,龟派气波,crystal,3,水晶球,L,2543,5,3
hiding,2,防御,basic,2,龟派气波,R,3231,3,7
basic,3,过肩摔,stone,1,岩石护盾,L,3371,3,5
angel,3,飞升,basic,3,过肩摔,R,2719,6,4
basic,3,过肩摔,two_head,2,精神干扰/吸收,L,2995,5,3
fortune,1,骰子,basic,3,过肩摔,R,2388,3,5
basic,3,过肩摔,rainbow,3,反射,L,2768,5,2
pirate,2,朗姆酒,basic,3,过肩摔,R,2574,2,5
basic,3,过肩摔,line,1,连笔,L,2912,4,4
phoenix,3,强化涅槃,basic,3,过肩摔,R,2865,3,5
basic,3,过肩摔,crystal,2,碎晶爆破,L,2592,4,2
hiding,1,缩头,basic,3,过肩摔,R,3317,3,5
basic,3,过肩摔,shell,3,暗影,L,2616,5,2
angel,3,飞升,stone,1,岩石护盾,R,2965,6,5
stone,1,岩石护盾,two_head,2,精神干扰/吸收,L,3908,4,6
fortune,1,骰子,stone,1,岩石护盾,R,3256,5,5
stone,1,岩石护盾,rainbow,3,反射,R,3358,4,6
pirate,2,朗姆酒,stone,1,岩石护盾,R,4037,6,7
stone,1,岩石护盾,line,1,连笔,L,3191,5,5
phoenix,3,强化涅槃,stone,1,岩石护盾,L,3704,5,5
stone,1,岩石护盾,crystal,2,碎晶爆破,L,3149,5,3
hiding,1,缩头,stone,1,岩石护盾,L,3540,5,5
stone,1,岩石护盾,shell,3,暗影,L,3677,6,4
ice,1,冰霜,stone,2,磐石之躯,R,3150,4,7
stone,2,磐石之躯,two_head,3,融合,L,3504,4,4
fortune,2,梭哈,stone,2,磐石之躯,R,3026,2,6
stone,2,磐石之躯,gambler,1,万能牌,L,3489,7,6
pirate,3,海盗船,stone,2,磐石之躯,R,3888,2,8
stone,2,磐石之躯,line,2,画龙点睛,L,2984,6,3
lava,1,地裂,stone,2,磐石之躯,R,3639,4,8
stone,2,磐石之躯,crystal,3,水晶球,R,3653,5,4
hiding,2,防御,stone,2,磐石之躯,L,3814,5,8
stone,3,嘲讽,bamboo,1,自然恢复,R,4038,4,7
ice,3,团队护盾,stone,3,嘲讽,R,3499,4,5
stone,3,嘲讽,ghost,2,灵魂风暴,R,2171,2,4
